doi,cleaned_feature
10.1109/IEEECONF35879.2020.9330249,lens antenna beam focused azimuth sectorial beam elevation w band ieee international symposium antenna propagation north american radio science meeting institute electrical electronics engineer ieee
10.1177/1934578X20987932,antifungal antiaging evaluation aerial part extract thymelaea hirsuta endl natural product communication sage publication
10.1103/PhysRevResearch.3.013034,machine learning engineering quantum current physical research american physical society aps
10.4028/www.scientific.net/KEM.875.272,sliding friction behavior sintered ni cr composite solid lubricant key engineering material trans tech publication ltd
10.1051/0004-6361/202039765,stellar chromospheric activity fgk star ambre harp sample astronomy amp astrophysics edp science
10.1016/j.jbusvent.2021.106092,trend pattern sustainable entrepreneurship research bibliometric research agenda business venturing elsevier bv
10.1109/FG47880.2020.00116,apathy classification exploiting task relatedness th ieee international conference automatic face gesture recognition fg institute electrical electronics engineer ieee
10.1029/2020GL090278,inherited state stress key factor controlling slip slip mode inference study slow slip event longitudinal valley taiwan geophysical research letter american geophysical union agu
10.1109/IEEECONF35879.2020.9329627,optimization driven method synthesis reconfigurable parasitic antenna array ieee international symposium antenna propagation north american radio science meeting institute electrical electronics engineer ieee
10.1103/PhysRevA.103.022618,optical spin manipulation non kramers rare earth ion weak magnetic field quantum memory application physical american physical society aps
10.1029/2020JE006662,seismic efficiency simple crater formation martian top crust analog geophysical research planet american geophysical union agu
10.1161/HYPERTENSIONAHA.120.16336,proximal tubule specific deletion angiotensin ii type a receptor kidney attenuates circulating intratubular angiotensin ii induced hypertension pt agtr a sup sup mouse hypertension ovid technology wolters kluwer health
10.1093/MNRAS/STZ3277,first sky demonstration integrated photonic nulling interferometer glint instrument monthly notice royal astronomical society oxford university press oup
10.1103/PhysRevD.103.064017,sky search early o ligo data continuous gravitational wave signal unknown neutron star binary system physical american physical society aps
10.1038/s41586-020-03065-y,genetic mechanism critical illness covid nature springer science business medium llc
10.1113/JP281218,hypoxia hypoxia inducible factor promote development neointimal hyperplasia arteriovenous fistula physiology wiley
10.1142/S0219525920500162,selfishness altruism macro behavior advance complex system world scientific pub co pte ltd
10.4324/9781351265560-8,territorialization national populist politics people nation informa uk limited
10.1094/MPMI-06-20-0156-R,integrity post lrr domain required tir nb lrr function molecular plant microbe interaction r scientific society
10.46298/EPIGA.2019.VOLUME3.4460,cartan geometry complex manifold algebraic dimension zero epijournal geometrie algebrique centre communication scientifique directe ccsd
10.1364/OE.409344,photon thermalization condensation phase transition electrically pumped semiconductor microresonator optic express optical society
10.1051/0004-6361/202039737,small solar system object highly inclined orbit astronomy amp astrophysics edp science
10.1103/PhysRevLett.126.103604,subradiance saturated atom population enhancement long lived state physical letter american physical society aps
10.1684/ABC.2021.1621,usefulness combined sequencing mitochondrial genome targeted panel nuclear gene involved mitochondrial disease annales biologie clinique john libbey eurotext
10.1002/9781119409144.ch131,whole genome sequencing symbiotic nitrogen fixation mutant medicago truncatula tnt mutant population identify relevant tnt mere insertion site model legume medicago truncatula wiley
10.1016/j.seta.2021.101100,climate assessment greenhouse equipped south oriented pv roof experimental computational fluid dynamic study sustainable energy technology assessment elsevier bv
10.1017/S0963548321000067,power path tournament combinatorics probability computing cambridge university press cup
10.1364/OL.414353,manipulation temporal localized structure vertical external cavity surface emitting laser optical feedback optic letter optical society
10.1364/OE.409527,direct laser written integrated mid ir directional coupler bgg glass optic express optical society
10.1103/PhysRevD.103.043023,simultaneous estimation astrophysical cosmological stochastic gravitational wave background terrestrial detector physical american physical society aps
10.1017/S0022377820001531,inverse cascade magnetic vortex kinetic alfven wave turbulence plasma physic cambridge university press cup
10.1109/TAES.2021.3061819,mpc flight control tilt rotor vtol aircraft ieee transaction aerospace electronic system institute electrical electronics engineer ieee
10.1504/IJBET.2021.113729,multi feature based approach white blood cell segmentation classification peripheral blood bone marrow image international biomedical engineering technology inderscience publisher
10.1172/JCI.INSIGHT.143619,proximal tubular epithelial insulin receptor mediates high fat diet induced kidney injury jci insight american society clinical investigation
10.4018/IJGBL.2021040102,domego international game based learning igi global
10.1172/JCI140453,altered glycosylation igg promotes lectin complement pathway activation anti pla r associated membranous nephropathy clinical investigation american society clinical investigation
10.46298/EPIGA.2020.VOLUME4.5721,opers higher type quot scheme frobenius instability locus epijournal geometrie algebrique centre communication scientifique directe ccsd
10.1615/Int.J.UncertaintyQuantification.2020032982,non nested infilling strategy multifidelity based efficient global optimization international uncertainty quantification begell house
10.5194/isprs-annals-VI-4-W2-2020-111-2020,visual analytics movement data waste collection service tool smart city isprs annals photogrammetry remote sensing spatial information science copernicus gmbh
10.1103/PhysRevFluids.6.033905,stability rayleigh stable couette flow two differentially heated cylinder physical fluid american physical society aps
10.1371/JOURNAL.PPAT.1009461,deconvolution intergenic polymorphism determining high expression factor h binding protein meningococcus association invasive disease plo pathogen public library science plo
10.1029/2021JB021896,thank peer reviewer geophysical research solid earth american geophysical union agu
10.1109/OCEANSE.2019.8867040,emso ligure nice coastal cabled observatory dedicated study slope stability ocean marseille institute electrical electronics engineer ieee
10.1109/TNS.2021.3070695,investigation thermoluminescence ionization annealing process irradiated ge doped silica fiber preform ieee transaction nuclear science institute electrical electronics engineer ieee
10.12681/MMS.18857,juvenile fish cystoseira forest influence habitat complexity depth fish behaviour assemblage composition mediterranean marine science national documentation centre ekt
10.1016/j.jmaa.2021.125208,well posedness long time behavior electron inertial hall mhd system besov kato herz space mathematical analysis application elsevier bv
10.1103/PhysRevA.103.033714,van der waals dephasing dicke subradiance cold atomic cloud physical american physical society aps
10.1103/PhysRevA.103.032221,quantum dynamic continuous projective measurement non hermitian description continuum space limit physical american physical society aps
10.7554/eLife.61736,paternal multigenerational exposure obesogenic diet drive epigenetic predisposition metabolic disease mouse elife elife science publication ltd
10.1109/SiRF51851.2021.9383348,f ronxcoff cp db ghz dbm innovative pin diode integrated nm bicmos technology targeting mmw g g front end module ieee th topical meeting silicon monolithic integrated circuit rf system sirf institute electrical electronics engineer ieee
10.1109/TPAMI.2021.3070520,track new method examination deep architecture head motion prediction degree video ieee transaction pattern analysis machine intelligence institute electrical electronics engineer ieee
10.1096/fj.202002420R,single cell transcriptomics reveal temporal dynamic critical regulator germ cell fate mouse sex determination faseb wiley
10.1553/ETNA_VOL49S41,numerical assessment two level domain decomposition preconditioners incompressible stokes elasticity equation etna electronic transaction numerical analysis osterreichische akademie der wissenschaften
10.1137/20M1312125,modeling analysis coupling discrete fracture matrix model siam numerical analysis society industrial applied mathematics siam
10.1109/IRMMW-THz46771.2020.9370538,terahertz intersubband electroluminescence zno quantum cascade structure th international conference infrared millimeter terahertz wave irmmw thz institute electrical electronics engineer ieee
10.1109/OCEANSE.2019.8867090,seismo acoustic wave propagation rade hyeres france generated counter mining explosive device comparison numerical simulation real experiment ocean marseille institute electrical electronics engineer ieee
10.1103/PhysRevD.103.063006,inference protoneutron star property gravitational wave data core collapse supernova physical american physical society aps
10.5194/isprs-annals-VI-4-W2-2020-33-2020,smart data smart city morphology case meridia neighborhood nice france isprs annals photogrammetry remote sensing spatial information science copernicus gmbh
10.1096/fj.202001817RR,alpha lipoic acid supplementation increase efficacy exercise diet induced obesity treatment induces immunometabolic change female mouse woman faseb wiley
10.1137/19M1308888,accelerated iterative regularization via dual diagonal descent siam optimization society industrial applied mathematics siam
10.1109/TSP.2020.3022827,cramer rao bound complex valued independent component extraction determined piecewise determined mixing model ieee transaction signal processing institute electrical electronics engineer ieee
10.1029/2020JB020701,d local earthquake tomography ecuadorian margin source area mw pedernales earthquake geophysical research solid earth american geophysical union agu
10.1029/2020TC006524,paleogene v shaped basin neogene subsidence northern lesser antilles forearc tectonics american geophysical union agu
10.3847/1538-3881/abc69b,gaia eso survey oxygen abundance galactic thin thick disk astronomical american astronomical society
10.1029/2020JB020656,origin strong nonlinear dependence fracture joint spacing bed thickness layered rock mechanical analysis modeling geophysical research solid earth american geophysical union agu
10.1029/2020JA028709,association ionospheric signature various tectonic parameter moderate large magnitude earthquake case study geophysical research space physic american geophysical union agu
10.1109/ICTMOD49425.2020.9380621,enterprise social networking knowledge management tool knowledge dynamic ieee international conference technology management operation decision ictmod institute electrical electronics engineer ieee
10.1016/j.jsg.2021.104324,flow pathway multiple direction fold hinge implication fractured karstified carbonate reservoir structural geology elsevier bv
10.1029/2020JA028901,automatic detection thermal electron density whisper experiment onboard cluster ii mission neural network geophysical research space physic american geophysical union agu
10.1016/j.evopsy.2021.02.007,extension post verite question epistemologiques politiques entretien philippe huneman evolution psychiatrique elsevier bv
10.1097/CCO.0000000000000730,role tumor matrix environment progression head neck cancer current opinion oncology ovid technology wolters kluwer health
10.1123/MC.2020-0036,neuromuscular fatigue individual intellectual disability comparison sedentary individual athlete motor control human kinetics
10.3934/CPAA.2020107,uniform priori estimate elliptic problem impedance boundary condition communication pure applied analysis american institute mathematical science aim
10.3917/RPEC.212.0145,capital propriete histoire justice travail thomas piketty revue philosophie economique cairn
10.5038/1827-806X.50.1.2374,bat guano mineral mineralization process chameau cave eastern morocco international speleology university south florida library
10.1016/j.evopsy.2021.03.002,editorial evolution psychiatrique elsevier bv
10.1103/PhysRevX.11.011053,intermittency velocity circulation quantum turbulence physical x american physical society aps
10.1016/j.kine.2021.03.008,erratum l article jeulin modelisation l interaction air mucus l arbre bronchique volume pulmonaire v debit air contraintes cisaillement l arbre bronchique kinesither rev kinesitherapie revue elsevier bv
10.33166/AETiC.2021.02.009,customer choice modelling multi level consensus clustering approach annals emerging technology computing international association educator researcher iaer
10.1016/j.euroecorev.2021.103739,impact energy price socioeconomic environmental performance evidence french manufacturing establishment european economic elsevier bv
10.3842/SIGMA.2021.037,sobolev lifting invariant symmetry integrability geometry method application sigma symmetry integrability geometry method application
10.1109/TAP.2020.3026921,optimal bandwidth position terminal embedded antenna physical bound antenna design ieee transaction antenna propagation institute electrical electronics engineer ieee
10.1175/JAS-D-20-0279.1,multistability rare spontaneous transition barotropic b plane turbulence atmospheric science american meteorological society
10.1103/PhysRevD.103.064055,constraining velocity dependent lorentz cpt violation using lunar laser ranging physical american physical society aps
10.1029/2020PA004153,change intermediate water mass mediterranean sea last climatic cycle new constraint neodymium isotope foraminifera paleoceanography paleoclimatology american geophysical union agu
10.1127/entomologia/2021/1155,parasitic strategy arthropod medical veterinary importance entomologia generalis schweizerbart
10.1364/OE.419844,convolutional neural network self mixing interferometric displacement sensing optic express optical society
10.23919/ISAP47053.2021.9391489,ghz link enabled yagi uda antenna international symposium antenna propagation isap institute electrical electronics engineer ieee
10.1103/PhysRevD.103.064070,constraint chameleon gravity measurement electrostatic stiffness microscope mission accelerometer physical american physical society aps
10.1016/j.knosys.2021.106989,regularizing deep network prior knowledge constraint based approach knowledge based system elsevier bv
10.1103/PhysRevA.103.L041101,phase diagram spatiotemporal instability large magneto optical trap physical american physical society aps
10.1109/TIM.2021.3075518,distributed x ray dosimetry optical fiber optical frequency domain interferometry ieee transaction instrumentation measurement institute electrical electronics engineer ieee
10.1103/PhysRevResearch.3.013091,turbulence role fate virus containing droplet violent expiratory event physical research american physical society aps
10.1249/MSS.0000000000002557,recovery fatigue cycling time trial elite endurance athlete medicine amp science sport amp exercise ovid technology wolters kluwer health
10.7554/ELIFE.65742,tyramine induces dynamic rnp granule remodeling translation activation drosophila brain elife elife science publication ltd
10.1016/j.mmm.2021.04.008,metformine cancer repositionnement non question pose medecine malady metaboliques elsevier bv
10.1364/OSAC.393220,bayesian optimization rigorous modelling highly efficient d metamaterial mode converter osa continuum optical society
10.5802/CRGEOS.30,rapid response mml math xmlns mml http www w org math mathml mml msub mml mrow mml mi mathvariant normal w mml mi mml msub mml math earthquake november teil lower rhone valley france comptes rendus geoscience cellule mathdoc cedram
10.17083/ijsg.v7i4.361,constructive alignment learning mechanic game mechanic serious game design higher education international serious game serious game society
10.7554/ELIFE.68348,ubtd regulates ceramide balance endolysosomal positioning coordinate egfr signaling elife elife science publication ltd
10.1103/PhysRevB.103.195302,superpolynomial quantum enhancement polaritonic neuromorphic computing physical b american physical society aps
10.23919/EuCAP51087.2021.9411288,modeling finite radius vhf hf wire antenna numerical dosimetry application near field interaction scenario th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.1364/FIO.2020.JTu1A.6,scattering path test optical bench lisa mission frontier optic laser science optical society
10.1158/1940-6207.CAPR-20-0465,hcv eradication primary secondary prevention optimizes hepatocellular carcinoma curative management cancer prevention research american association cancer research aacr
10.1103/PhysRevA.103.053702,photon photon correlation pair strongly coupled two level emitter physical american physical society aps
10.1016/j.sna.2021.112795,temperature compensation fiber optic based system shape reconstruction minimally invasive surgical needle sensor actuator physical elsevier bv
10.23919/EuCAP51087.2021.9411046,miniaturized omnidirectional circularly polarized antenna iot application th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.23919/EuCAP51087.2021.9411035,influence end launch position textile wave guide surface ban application th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.1109/MGRS.2021.3071158,spectral variability hyperspectral data unmixing comprehensive ieee geoscience remote sensing magazine institute electrical electronics engineer ieee
10.23919/EuCAP51087.2021.9410892,miniature sub ghz antenna iot space application challenge first result th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.2147/NDT.S264910,targeting impaired antimicrobial immunity brain treatment alzheimer disease neuropsychiatric disease treatment informa uk limited
10.1103/PhysRevA.103.052204,higher order interference multiple quantum particle interacting nonlinearly physical american physical society aps
10.7554/ELIFE.61401,exceptional stability perilipin lipid droplet depends polar residue suggesting multimeric assembly elife elife science publication ltd
10.1109/JSEN.2020.3010572,enhanced backscattering optical fiber distributed sensor tutorial ieee sensor institute electrical electronics engineer ieee
10.1109/JLT.2021.3077637,nonlinear characterization waveguide index profile application soft proton exchange linbo lightwave technology institute electrical electronics engineer ieee
10.1103/PhysRevFluids.6.053101,drag analysis self propelled flexible swimmer physical fluid american physical society aps
10.1127/entomologia/2021/1068,performance trichogramma japonicum vector beauveria bassiana parasitizing egg rice striped stem borer chilo suppressalis entomologia generalis schweizerbart
10.1364/FIO.2020.FW7F.3,analysis phase locking dynamic iii v silicon ring mode locked laser frontier optic laser science optical society
10.1096/fj.202002591R,mutagenesis homology modeling reveal predicted pocket lysophosphatidylcholine acyltransferase catch acyl coa faseb wiley
10.1103/PhysRevE.103.042212,missing level statistic classically chaotic quantum system symplectic symmetry physical e american physical society aps
10.23919/EuCAP51087.2021.9411321,limitation impedance bandwidth integrated antenna mobile terminal narrow clearance th european conference antenna propagation eucap institute electrical electronics engineer ieee
10.1364/OSAC.412039,analysis phase locking dynamic iii v silicon frequency comb laser osa continuum optical society
10.1142/S179383091650035X,round weighting problem gathering radio network symmetrical interference discrete mathematics algorithm application world scientific pub co pte ltd
10.1029/2021JB022351,plain language summary required submission geophysical research solid earth geophysical research solid earth american geophysical union agu
10.1128/IAI.00734-20,influenza virus infection impairs gut barrier property favor secondary enteric bacterial infection reduced production short chain fatty acid infection immunity american society microbiology
10.1209/0295-5075/134/16001,magnetic phase transition ground state phase diagram binary bose gas optical lattice epl europhysics letter iop publishing
10.1007/978-3-030-61958-9_1,versality bound global tjurina number logarithmic vector field along hypersurfaces isolated singularity singularity interaction geometry low dimensional topology springer science business medium llc
10.1109/ISBI48211.2021.9434013,non convex super resolution oct image via sparse representation ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.3233/SHTI210198,data warehouse design dangerous pathogen monitoring public health informatics io press
10.1103/PhysRevB.103.195117,quantum monte carlo study anharmonic holstein model physical b american physical society aps
10.1109/ISBI48211.2021.9433976,col rme covariance based sub sub super resolution microscopy intensity estimation ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1108/JOCM-12-2019-0395,family firm cope growth contribution accelerationism organizational change management emerald
10.1364/AO.422729,building hybridized baseline pupil remapping photonic interferometer future high resolution imaging applied optic optical society
10.1164/rccm.202012-4434ED,cystic fibrosis transmembrane conductance regulator american respiratory critical care medicine american thoracic society
10.1007/s00031-021-09658-9,abelianization higgs bundle quasi split real group transformation group springer science business medium llc
10.12681/MMS.19756,first direct evidence reproductive behaviour white grouper epinephelus aeneus geoffroy saint hilaire mediterranean marine science national documentation centre ekt
10.1172/JCI136459,frataxin deficiency promotes endothelial senescence pulmonary hypertension clinical investigation american society clinical investigation
10.1029/2021JB021746,repeating earthquake edge afterslip ecuadorian sub w sub pedernales earthquake geophysical research solid earth american geophysical union agu
10.23736/S0022-4707.21.10894-1,validity differentiated rating perceived exertion use aquatic cycling sport medicine physical fitness edizioni minerva medica
10.1103/PhysRevFluids.6.053102,direct measurement unsteady microscale stokes flow using optically driven microspheres physical fluid american physical society aps
10.1029/2020GL091188,constraining fault friction stability fluid injection field experiment geophysical research letter american geophysical union agu
10.21615/CESP.14.1.5,trust public risk management social dynamic case flood risk psicologia universidad
10.1016/j.yjmcc.2021.05.002,piezo bkca channel human atrial fibroblast interplay remodelling atrial fibrillation molecular cellular cardiology elsevier bv
10.1038/s42005-021-00606-3,realising compressing quantum circuit quantum reservoir computing communication physic springer science business medium llc
10.1007/978-3-030-55874-1_1,high order whitney form simplices question potential numerical mathematics advanced application enumath springer science business medium llc
10.1109/WIIAT50758.2020.00062,injection knowledge sourcing recommender system ieee wic acm international joint conference web intelligence intelligent agent technology wi iat institute electrical electronics engineer ieee
10.1109/ISBI48211.2021.9434014,weighted celo sparse regularisation molecule localisation super resolution microscopy poisson data ieee th international symposium biomedical imaging isbi institute electrical electronics engineer ieee
10.1103/PhysRevD.103.103529,spectral separation stochastic gravitational wave background lisa observing cosmological astrophysical background physical american physical society aps
10.1109/ACCESS.2021.3084236,generic clustering based algorithm approximating iohmm topology parameter ieee access institute electrical electronics engineer ieee
10.3233/SHTI210373,bioinformatic analysis miru vntr repeat mycobacterium tuberculosis strain lagos nigeria public health informatics io press
10.2215/CJN.03530321,growing understanding antigenic basis membranous nephropathy clinical american society nephrology american society nephrology asn
10.1029/2020JE006755,seismic velocity variation d martian mantle implication insight measurement geophysical research planet american geophysical union agu
10.1161/JAHA.120.019091,simultaneous pharmacologic inhibition yes associated protein glutaminase via inhaled poly lactic co glycolic acid encapsulated microparticles improves pulmonary hypertension american heart association ovid technology wolters kluwer health
10.1103/PhysRevD.103.122002,test general relativity binary black hole second ligo virgo gravitational wave transient catalog physical american physical society aps
10.1017/S1473550421000173,presence water exomoons orbiting free floating planet case study international astrobiology cambridge university press cup
10.1029/2021GL092950,frictional origin slip event whillans ice stream antarctica geophysical research letter american geophysical union agu
10.1037/pag0000485,top bottom guidance normal aging scene search psychology aging american psychological association apa
10.1109/IEEECONF51394.2020.9443505,end end spike based image compression architecture th asilomar conference signal system computer institute electrical electronics engineer ieee
10.1016/j.flora.2021.151874,fire flood interact determine forest islet structure diversity neotropical wetland flora elsevier bv
10.1103/PhysRevX.11.021053,gwtc compact binary coalescence observed ligo virgo first half third observing run physical x american physical society aps
10.4153/S0008439520001010,plongements polyedraux tendus nombre chromatique relatif surface bord canadian mathematical bulletin canadian mathematical society
10.1103/PhysRevB.103.235306,interaction induced double sided skin effect exciton polariton system physical b american physical society aps
10.1103/PhysRevB.103.235104,superconductivity charge density wave order two dimensional holstein model physical b american physical society aps
10.3847/PSJ/ab8e45,new evidence physical link asteroid ud phaethon planetary science american astronomical society
10.5802/AIF.3362,measure contraction property two step analytic sub riemannian structure lipschitz carnot group annales institut fourier cellule mathdoc cedram
10.1096/fj.202100593R,mt mmp control app b ctf c metabolism proteolytic dependent independent mechanism relevant alzheimer disease faseb wiley
10.1103/PhysRevLett.126.234501,proprioceptive mechanism bioinspired fish swimming physical letter american physical society aps
10.1127/entomologia/2021/0972,comparison full length transcriptomes different imidacloprid resistant strain rhopalosiphum padi entomologia generalis schweizerbart
10.1016/B978-0-12-618940-7.50004-5,preface horizon bioenergetics elsevier bv
10.1029/2020TC006300,slab folding surface deformation iran mobile belt tectonics american geophysical union agu
10.1364/OE.427727,whispering gallery mode ingan microdisks gan substrate optic express optical society
10.1103/PhysRevE.103.053005,impact dynamic composite elastorigid projectile onto solid surface physical e american physical society aps
10.1016/j.mtcomm.2021.102528,mixing nanostructured ni piezopvdf composite thin film e beam irradiation beneficial synergy piezoelectric response material today communication elsevier bv
10.1016/j.compstruct.2021.114297,modeling simulation static vibratory behavior hybrid composite plate axis anisotropic composite structure elsevier bv
10.1016/j.heliyon.2021.e07284,computational search hybrid human sars cov dsrna reveals unique viral sequence diverge coronavirus strain heliyon elsevier bv
10.1103/PhysRevA.104.012402,decoherence scaling transition dynamic quantum information scrambling physical american physical society aps
10.1158/0008-5472.CAN-20-2114,dual covalent inhibition pkm impdh target metabolism cutaneous metastatic melanoma cancer research american association cancer research aacr
10.3917/ROM.192.0101,huysmans ecologiste romantisme cairn
10.1007/s11695-021-05525-4,sleeve gastrectomy versus roux gastric bypass elderly year preliminary outcome randomized trial base trial obesity surgery springer science business medium llc
10.1109/IJCNN52387.2021.9533514,learning event camera sparse spiking convolutional neural network international joint conference neural network ijcnn institute electrical electronics engineer ieee
10.1214/20-AOP1465,propagation chaos mean field rough differential equation annals probability institute mathematical statistic
10.1096/fj.202100303R,pdz protein scrib regulates sodium iodide symporter ni expression basolateral plasma membrane faseb wiley
10.5802/CRMATH.190,towards mathematical definition functional connectivity comptes rendus mathematique cellule mathdoc cedram
10.1017/S0960129521000074,quantifier language codensity monad mathematical structure computer science cambridge university press cup
10.5802/JEP.168,new counterexample strichartz estimate wave equation mml math xmlns mml http www w org math mathml mml mn mml mn mml math model convex domain l ecole polytechnique mathematiques cellule mathdoc cedram
10.1029/2020JB021576,geodetic observation shallow creep laohushan haiyuan fault northeastern tibet geophysical research solid earth american geophysical union agu
10.1515/advgeom-2021-0020,wobbly divisor modulus space rank vector bundle advance geometry walter gruyter gmbh
10.3389/feart.2021.684421,earthquake early warning system israel towards operational stage frontier earth science frontier medium
10.1016/j.neurenf.2021.06.002,clinique hallucination acoustico verbales chez enfants adolescent suite un trouble stress post traumatique illustration ca cliniques neuropsychiatrie enfance adolescence elsevier bv
10.1103/PhysRevLett.127.025301,pairing pair superfluid density one dimensional two specie fermionic bosonic hubbard model physical letter american physical society aps
10.2528/PIERL21051107,design low profile safe low sar tri band textile ebg based antenna iot application progress electromagnetics research letter electromagnetics academy
10.1103/PhysRevE.103.062142,role current fluctuation nonreversible sampler physical e american physical society aps
10.1214/20-AAP1639,derivation coupled kpz burger equation multi specie zero range process annals applied probability institute mathematical statistic
10.1038/s41534-021-00436-9,adaptive quantum state tomography neural network npj quantum information springer science business medium llc
10.1103/PhysRevLett.126.241102,constraint cosmic string using data third advanced ligo virgo observing run physical letter american physical society aps
10.1103/PhysRevA.103.063316,quantum boomerang effect beyond standard anderson model physical american physical society aps
10.1002/9781119312994.apr0779,biological function solanaceous withanolides effect herbivorous insect annual plant review online wiley
10.1142/S0218202521500366,kinetic macroscopic model active particle exploring complex environment internal navigation control system mathematical model method applied science world scientific pub co pte ltd
10.1109/ICPR48806.2021.9411920,robust image coding synthetic dna reducing sequencing noise inpainting th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.1109/TPAMI.2021.3094662,wasserstein adversarial regularization learning label noise ieee transaction pattern analysis machine intelligence institute electrical electronics engineer ieee
10.3847/PSJ/ac063e,double asteroid redirection test dart planetary defense investigation requirement planetary science american astronomical society
10.1063/5.0058294,study equatorial plasma bubble indian sub continent using various satellite constellation technique aip conference proceeding aip publishing
10.1016/j.fpurol.2021.06.005,prevention complication thromboemboliques chirurgie urologique progres urologie fmc elsevier bv
10.1109/TMTT.2021.3093417,dispersion stability analysis tlm unstructured block meshing ieee transaction microwave theory technique institute electrical electronics engineer ieee
10.1063/5.0058299,study seasonal latitudinal variation fresnel frequency drift velocity amplitude scintillation indian sector international conference recent trend theoretical applied physic icrttap aip publishing
10.5802/CRGEOS.59,amphibolite facies metamorphic event within upper sebtides tectonic unit internal rif morocco record hyperextended margin border western tethys comptes rendus geoscience cellule mathdoc cedram
10.1109/ICPR48806.2021.9413097,hierarchical multimodal attention deep video summarization th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.1109/ICPR48806.2021.9412873,classification feature selection using primal dual method projection structured constraint th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.1109/ICPR48806.2021.9412745,omniflownet perspective neural network adaptation optical flow estimation omnidirectional image th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.1103/PhysRevA.104.013515,dissipation enhanced collapse singularity nonlocal fluid light hot atomic vapor physical american physical society aps
10.1137/20M1342811,may microcredit lead inclusion siam financial mathematics society industrial applied mathematics siam
10.1109/ICPR48806.2021.9412162,learning sparse deep neural network using efficient structured projection convex constraint green th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.22331/Q-2021-07-19-506,nonclassical trajectory head collision quantum verein zur forderung open access publizierens den quantenwissenschaften
10.1111/ppa.13438,genetic diversity meloidogyne spp rice identification multiresistant source oryza spp accession plant pathology wiley
10.1109/ICPR48806.2021.9412381,define rejection class based model learning th international conference pattern recognition icpr institute electrical electronics engineer ieee
10.1109/LGRS.2020.3007161,deep generative model library augmentation multiple endmember spectral mixture analysis ieee geoscience remote sensing letter institute electrical electronics engineer ieee
10.1215/00182702-7023494,practice using interview history contemporary economics history political economy duke university press
10.1109/LSP.2018.2889267,regularization framework learning multitask graph ieee signal processing letter institute electrical electronics engineer ieee
10.1253/circj.CJ-18-0517,positive association high leptin level abdominal aortic calcification men prospective minos study circulation japanese circulation society
10.1016/S0007-4551(18)30379-5,cancer rein metastatique quels criteres choix e ligne bulletin cancer elsevier bv
10.1016/B978-0-12-803581-8.09516-3,gravitational wave detection encyclopedia modern optic elsevier bv
10.1109/HPCS.2018.00117,ensuring memory consistency heterogeneous system based access mode declaration international conference high performance computing simulation hpcs institute electrical electronics engineer ieee
10.1016/B978-0-444-64062-8.00002-4,thermal analysis biobased polymer composite handbook thermal analysis calorimetry elsevier bv
10.1109/ASONAM.2018.8508659,bias facebook news feed case study italian election ieee acm international conference advance social network analysis mining asonam institute electrical electronics engineer ieee
10.1134/S1063772918120247,galactic constraint fermionic dark matter astronomy report pleiades publishing ltd
10.5751/ES-10232-230338,achieving promise integration social ecological research prospectus ecology society resilience alliance inc
10.2147/COPD.S176366,endobronchial coil treatment severe emphysema patient alpha antitrypsin deficiency international chronic obstructive pulmonary disease informa uk limited
10.1103/PhysRevD.104.022004,upper limit isotropic gravitational wave background advanced ligo advanced virgo third observing run physical american physical society aps
10.1109/TCST.2020.3029564,homography based dynamic control approach applied station keeping autonomous underwater vehicle without linear velocity measurement ieee transaction control system technology institute electrical electronics engineer ieee
10.5802/CRGEOS.69,seismotectonics southeast france jura mountain corsica comptes rendus geoscience cellule mathdoc cedram
10.1109/SSP49050.2021.9513733,distortion approximation compressed softmax layer ieee statistical signal processing workshop ssp institute electrical electronics engineer ieee
10.1007/s10530-021-02613-5,biological invasion risk assessment tuta absoluta mechanistic versus correlative method biological invasion springer science business medium llc
10.1103/PhysRevFluids.6.083603,actuating water droplet liquid infused surface rickshaw droplet physical fluid american physical society aps
10.23736/S0022-4707.21.12728-8,evolution distance running shoe performance injury rule sport medicine physical fitness edizioni minerva medica
10.1097/MRR.0000000000000477,single session training ascending treadmill slope effect gait parameter person stroke pilot study international rehabilitation research ovid technology wolters kluwer health
10.1164/rccm.202011-4106IM,unforeseen path superior vena cava american respiratory critical care medicine american thoracic society
10.1109/CSCI51800.2020.00308,discriminative property principal component analysis based l norm international conference computational science computational intelligence csci institute electrical electronics engineer ieee
10.1214/20-AIHP1136,infinite dimensional regularization mckean vlasov equation wasserstein diffusion annales institut henri poincare probabilites statistiques institute mathematical statistic
10.1103/PhysRevD.104.022005,search anisotropic gravitational wave background using data advanced ligo advanced virgo first three observing run physical american physical society aps
10.1109/TSP.2021.3099954,robust sensor placement signal extraction ieee transaction signal processing institute electrical electronics engineer ieee
